
STT	Tên Đơn Vị Hành Chính Mới
1	Thủ đô Hà Nội
2	tỉnh Cao Bằng
3	tỉnh Tuyên Quang
4	tỉnh Lào Cai
5	tỉnh Điện Biên
6	tỉnh Lai Châu
7	tỉnh Sơn La
8	tỉnh Thái Nguyên
9	tỉnh Lạng Sơn
10	tỉnh Quảng Ninh
11	tỉnh Phú Thọ
12	tỉnh Bắc Ninh
13	thành phố Hải Phòng
14	tỉnh Hưng Yên
15	tỉnh Ninh Bình
16	tỉnh Thanh Hóa
17	tỉnh Nghệ An
18	tỉnh Hà Tĩnh
19	tỉnh Quảng Trị
20	thành phố Huế
21	thành phố Đà Nẵng
22	tỉnh Quảng Ngãi
23	tỉnh Khánh Hòa
24	tỉnh Gia Lai
25	tỉnh Đắk Lắk
26	tỉnh Lâm Đồng
27	tỉnh Tây Ninh
28	tỉnh Đồng Nai
29	thành phố Hồ Chí Minh
30	tỉnh Vĩnh Long
31	tỉnh Đồng Tháp
32	tỉnh An Giang
33	thành phố Cần Thơ
34	tỉnh Cà Mau
